Date,Amount,Category,Description
07-01-2024,1000,Income,Salary
07-02-2024,50,Expense,Groceries
07-03-2024,150,Expense,Utilities
07-04-2024,200,Income,Freelance Work
07-05-2024,75,Expense,Restaurant
07-06-2024,100,Expense,Transport
07-07-2024,500,Income,Bonus
07-08-2024,30,Expense,Snacks
07-09-2024,250,Income,Stock Dividends
07-10-2024,90,Expense,Entertainment
07-11-2024,60,Expense,Coffee
07-12-2024,120,Expense,Gas
07-13-2024,80,Expense,Books
07-14-2024,150,Expense,Clothing
07-15-2024,1100,Income,Salary
07-16-2024,40,Expense,Stationery
07-17-2024,180,Expense,Utilities
07-18-2024,250,Income,Freelance Work
07-19-2024,70,Expense,Restaurant
07-20-2024,130,Expense,Transport
07-21-2024,600,Income,Bonus
07-22-2024,35,Expense,Snacks
07-23-2024,300,Income,Stock Dividends
07-24-2024,100,Expense,Entertainment
07-25-2024,55,Expense,Coffee
07-26-2024,140,Expense,Gas
07-27-2024,90,Expense,Books
07-28-2024,170,Expense,Clothing
07-29-2024,1200,Income,Salary
07-30-2024,45,Expense,Stationery
07-31-2024,190,Expense,Utilities
07-20-2023,124,Expense,Groceries
